condition,measure,mean,std,count,stderr,95% CI Lower,95% CI Upper,model
Control,F1,0.1482914720194647,0.0830436885475998,8220.0,0.0009159477964856,0.1464959829159772,0.1500869611229522,gpt-3.5
Control,Jaccard,0.082294306569343,0.0494204019870789,8220.0,0.000545092698713,0.0812257871573361,0.08336282598135,gpt-3.5
Control,Semantic,0.8074574330900244,0.0435762758671471,8220.0,0.0004806336827956,0.8065152696353607,0.8083995965446881,gpt-3.5
Sentences,F1,0.1479804622871046,0.0834188935711131,8220.0,0.0009200861990606,0.146176860868966,0.1497840637052433,gpt-3.5
Sentences,Jaccard,0.0821467761557177,0.0499878449571132,8220.0,0.0005513514300763,0.0810659880489145,0.0832275642625209,gpt-3.5
Sentences,Semantic,0.8090354744525546,0.0439771877779075,8220.0,0.0004850556248801,0.808084642874162,0.8099863060309472,gpt-3.5
Words,F1,0.1511268734793187,0.0850859470100209,8220.0,0.0009384733149353,0.1492872286683968,0.1529665182902406,gpt-3.5
Words,Jaccard,0.0840741362530413,0.0508609565865537,8220.0,0.0005609815980886,0.0829744705837862,0.0851738019222964,gpt-3.5
Words,Semantic,0.8086247688564476,0.0436636605997821,8220.0,0.0004815975110491,0.8076807160548871,0.8095688216580081,gpt-3.5
Baseline,F1,0.1484163381995134,0.0837298124249588,8220.0,0.0009235155438313,0.1466060143991695,0.1502266619998572,gpt-3.5
Baseline,Jaccard,0.0824112287104622,0.049994353585049,8220.0,0.0005514232183545,0.0813302998804958,0.0834921575404287,gpt-3.5
Baseline,Semantic,0.8066184549878346,0.0437488174736379,8220.0,0.0004825367666666,0.8056725610079525,0.8075643489677167,gpt-3.5
Control,F1,0.1332399270072992,0.0775766405060374,8220.0,0.0008556478423948,0.1315626410491506,0.1349172129654478,gpt-4
Control,Jaccard,0.0732474574209245,0.04515474524333,8220.0,0.0004980437421537,0.0722711658511121,0.074223748990737,gpt-4
Control,Semantic,0.8078056812652069,0.0428394732150939,8220.0,0.0004725069632652,0.8068794482341108,0.808731914296303,gpt-4
Sentences,F1,0.1347180778588807,0.0824997464287122,8220.0,0.0009099482726937,0.1329343493378586,0.1365018063799029,gpt-4
Sentences,Jaccard,0.0743831143552311,0.048991970330503,8220.0,0.0005403672218147,0.0733238580718788,0.0754423706385834,gpt-4
Sentences,Semantic,0.8100713381995133,0.0439902286311824,8220.0,0.000485199461709,0.8091202246645944,0.8110224517344321,gpt-4
Words,F1,0.1347452554744525,0.0800785708009104,8220.0,0.000883243407821,0.1330138752358029,0.1364766357131021,gpt-4
Words,Jaccard,0.0742476399026764,0.0468875862907293,8220.0,0.0005171564762674,0.0732338825449986,0.0752613972603541,gpt-4
Words,Semantic,0.8089428710462288,0.0433112204491588,8220.0,0.0004777101984189,0.8080064383595877,0.8098793037328698,gpt-4
Baseline,F1,0.1335749635036496,0.0794559397820522,8220.0,0.0008763759682875,0.1318570451816057,0.1352928818256935,gpt-4
Baseline,Jaccard,0.073541301703163,0.0464705652613189,8220.0,0.0005125568552768,0.0725365607647619,0.074546042641564,gpt-4
Baseline,Semantic,0.8055741119221411,0.042981619693373,8220.0,0.0004740747976887,0.8046448055394476,0.8065034183048346,gpt-4
Control,F1,0.1356059002433089,0.0838533996168744,8220.0,0.0009248786747096,0.1337929043620364,0.1374188961245815,llama3
Control,Jaccard,0.0749498175182481,0.0493953447595875,8220.0,0.0005448163247621,0.0738818398690134,0.0760177951674828,llama3
Control,Semantic,0.794546812652068,0.0455770315178837,8220.0,0.0005027014372709,0.7935613908230176,0.7955322344811183,llama3
Sentences,F1,0.1359701703163017,0.0861522555331096,8220.0,0.0009502343886446,0.1341074708293695,0.1378328698032338,llama3
Sentences,Jaccard,0.0753121167883211,0.051456862194365,8220.0,0.0005675542640905,0.0741995670330597,0.0764246665435825,llama3
Sentences,Semantic,0.7958733211678833,0.0449011245318354,8220.0,0.0004952463792728,0.7949025131360962,0.7968441291996705,llama3
Words,F1,0.1364076277372262,0.0833146503261336,8220.0,0.0009189364263059,0.1346062801641871,0.1382089753102654,llama3
Words,Jaccard,0.0753822871046228,0.0490446501948894,8220.0,0.0005409482654382,0.0743218918289626,0.0764426823802831,llama3
Words,Semantic,0.7957547810218978,0.0451764027845201,8220.0,0.0004982826185509,0.7947780211939925,0.796731540849803,llama3
